competition,date,home_team,away_team,venue
toppserien_2026,2026-03-28,bodo_glimt_w,aalesund_w,
toppserien_2026,2026-03-28,lyn_w,valerenga_w,
toppserien_2026,2026-03-28,molde_w,brann_w,
toppserien_2026,2026-03-28,roa_w,haugesund_w,
toppserien_2026,2026-03-28,rosenborg_w,lsk_kvinner_w,
toppserien_2026,2026-03-28,stabak_w,honefoss_w,
eliteserien_2026,2026-03-29,bodo_glimt_m,brann_m,
eliteserien_2026,2026-03-29,kfum_oslo_m,start_m,
eliteserien_2026,2026-03-29,lillestrom_m,fredrikstad_m,
eliteserien_2026,2026-03-29,molde_m,kristiansund_m,
eliteserien_2026,2026-03-29,rosenborg_m,tromso_m,
eliteserien_2026,2026-03-29,sandefjord_m,aalesund_m,
eliteserien_2026,2026-03-29,sarpsborg08_m,hamkam_m,
toppserien_2026,2026-04-11,aalesund_w,roa_w,
toppserien_2026,2026-04-11,bodo_glimt_w,molde_w,
toppserien_2026,2026-04-12,brann_w,stabak_w,
toppserien_2026,2026-04-11,haugesund_w,rosenborg_w,
toppserien_2026,2026-04-11,honefoss_w,lyn_w,
toppserien_2026,2026-04-11,lsk_kvinner_w,valerenga_w,
eliteserien_2026,2026-04-12,aalesund_m,lillestrom_m,
eliteserien_2026,2026-04-12,bodo_glimt_m,molde_m,
eliteserien_2026,2026-04-12,brann_m,kfum_oslo_m,
eliteserien_2026,2026-04-12,fredrikstad_m,rosenborg_m,
eliteserien_2026,2026-04-12,kristiansund_m,sandefjord_m,
eliteserien_2026,2026-04-12,start_m,valerenga_m,
eliteserien_2026,2026-04-12,tromso_m,hamkam_m,
eliteserien_2026,2026-04-12,viking_m,sarpsborg08_m,
toppserien_2026,2026-04-18,lsk_kvinner_w,haugesund_w,
toppserien_2026,2026-04-18,lyn_w,brann_w,
toppserien_2026,2026-04-18,roa_w,molde_w,
toppserien_2026,2026-04-18,rosenborg_w,aalesund_w,
toppserien_2026,2026-04-18,stabak_w,bodo_glimt_w,
toppserien_2026,2026-04-18,valerenga_w,honefoss_w,
eliteserien_2026,2026-04-19,hamkam_m,viking_m,
eliteserien_2026,2026-04-19,kfum_oslo_m,molde_m,
eliteserien_2026,2026-04-19,lillestrom_m,kristiansund_m,
eliteserien_2026,2026-04-19,rosenborg_m,aalesund_m,
eliteserien_2026,2026-04-19,sandefjord_m,bodo_glimt_m,
eliteserien_2026,2026-04-19,sarpsborg08_m,start_m,
eliteserien_2026,2026-04-19,tromso_m,fredrikstad_m,
eliteserien_2026,2026-04-14,valerenga_m,brann_m,
toppserien_2026,2026-05-02,aalesund_w,lsk_kvinner_w,
toppserien_2026,2026-05-02,bodo_glimt_w,lyn_w,
toppserien_2026,2026-05-02,brann_w,honefoss_w,
toppserien_2026,2026-05-02,haugesund_w,valerenga_w,
toppserien_2026,2026-05-02,molde_w,rosenborg_w,
toppserien_2026,2026-05-02,roa_w,stabak_w,
eliteserien_2026,2026-05-03,aalesund_m,fredrikstad_m,
eliteserien_2026,2026-05-03,bodo_glimt_m,lillestrom_m,
eliteserien_2026,2026-05-03,brann_m,sarpsborg08_m,
eliteserien_2026,2026-05-03,kfum_oslo_m,sandefjord_m,
eliteserien_2026,2026-05-03,kristiansund_m,rosenborg_m,
eliteserien_2026,2026-05-03,molde_m,valerenga_m,
eliteserien_2026,2026-05-03,start_m,hamkam_m,
eliteserien_2026,2026-05-03,viking_m,tromso_m,
eliteserien_2026,2026-05-10,fredrikstad_m,kristiansund_m,
eliteserien_2026,2026-05-10,hamkam_m,brann_m,
eliteserien_2026,2026-05-10,lillestrom_m,kfum_oslo_m,
eliteserien_2026,2026-05-10,rosenborg_m,bodo_glimt_m,
eliteserien_2026,2026-05-10,sarpsborg08_m,molde_m,
eliteserien_2026,2026-05-10,tromso_m,aalesund_m,
eliteserien_2026,2026-05-10,viking_m,start_m,
toppserien_2026,2026-05-15,valerenga_w,brann_w,
eliteserien_2026,2026-05-16,valerenga_m,sandefjord_m,
toppserien_2026,2026-05-16,haugesund_w,aalesund_w,
toppserien_2026,2026-05-16,honefoss_w,bodo_glimt_w,
toppserien_2026,2026-05-16,lsk_kvinner_w,molde_w,
toppserien_2026,2026-05-16,lyn_w,roa_w,
toppserien_2026,2026-05-16,rosenborg_w,stabak_w,
eliteserien_2026,2026-05-24,bodo_glimt_m,fredrikstad_m,
eliteserien_2026,2026-05-24,brann_m,viking_m,
